"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Slc25a38",-3.91824560534193,4.87237957493332,-16.2793839661456,0.00000000922356663325188,0.000000442858713142172,10.8143541537258
"mt-Atp8",-3.88972803013375,8.98821419920487,-16.7219191529429,0.0000000070359654801319,0.000000351595800179829,10.7777139758411
"Apeh",-3.09323058630382,5.75271066608959,-16.1813364840388,0.00000000980282201145583,0.000000467439828546262,10.7596133308018
"Dleu2",-3.13815444579583,6.36107045080398,-16.1947935072329,0.00000000972101777528397,0.000000464602221104053,10.7443907813941
"Lmo2",-2.12978877429205,8.48430768394335,-16.3464123511402,0.00000000884912774026748,0.000000429832456530755,10.707069740334
"Dmxl1",-2.17255875555649,7.98457272927283,-16.3044592195683,0.00000000908150101831887,0.000000438056292175298,10.6942059769294
"Kcnn4",-2.86152027621264,6.21761261712775,-16.0924953972723,0.0000000103621180910408,0.000000490740492684337,10.6879430229209
"Iba57",-4.86983752594171,4.26725804797803,-16.2416158935365,0.00000000944214677845066,0.000000452311389814609,10.6812338287041
"Hipk2",-3.53557517926427,5.87528261586236,-16.0068326448092,0.000000010934556192812,0.000000515507425216779,10.644589277553
"Ypel3",-5.11671335131654,5.00897202606353,-15.9832847768218,0.0000000110979023905586,0.000000522027291229031,10.614758820321
"Auh",-3.63769812904419,5.06017189015692,-15.9642267863032,0.0000000112320550399045,0.000000525963062745009,10.6124064600455
"Slc44a1",-3.81518890866639,4.87988932028696,-15.9650414326882,0.0000000112262845012314,0.000000525963062745009,10.6027402509347
"Pim1",-3.17009941987595,8.19906791219604,-16.1605580179277,0.0000000099306133299426,0.000000472452330066995,10.6001206303148
"Pdzk1ip1",-6.20864834601778,3.89679980026374,-16.7797946849426,0.00000000679457327810793,0.00000034116944088967,10.5778223457312
"Klhl7",-3.63048693017942,5.79314441642976,-15.884346937673,0.0000000118139303133032,0.000000549284102064651,10.5753576570416
"Atxn7l1",-3.23294845288675,6.07829305803532,-15.8814663246063,0.0000000118355198112596,0.000000549284102064651,10.5599468754995
"Endod1",-3.23309698765704,6.01588551738755,-15.8827597542507,0.000000011825820543817,0.000000549284102064651,10.5401553107479
"ENSMUSG00000098148",-4.41652763840975,4.00396775157495,-16.0414560507566,0.0000000106991307497562,0.000000505552123726576,10.5360323394364
"Stmp1",-4.4674506768288,4.19056415836313,-15.9324511148129,0.0000000114596848305238,0.000000535419086319407,10.5118429526314
"Otub2",-5.65726245031482,3.69027491310556,-16.3256177953273,0.00000000896348397670345,0.000000433366772869018,10.505180418143
"Trim26",-3.99030267822006,5.05881568852316,-15.7942707607397,0.0000000125098622087039,0.000000576726789170292,10.4977693295212
"Hnrnpm",-2.8670214889085,8.63272292628587,-16.1004000408091,0.000000010310968600811,0.000000489430441238494,10.4553868423861
"Crebrf",-2.86520848752193,6.59707584064687,-15.6859941640243,0.0000000134062633024571,0.000000611537491662555,10.4315683638559
"Mpc2",-3.66522906410107,5.0748860682135,-15.6334252732819,0.0000000138665690460034,0.000000628155577783953,10.4088798802919
"Gch1",-5.79054139394378,4.17127486494665,-15.8571634834413,0.0000000120193884257814,0.000000556139733514432,10.404932812322
"Optn",-3.78208257026643,6.72270801231627,-15.7728485529056,0.0000000126818815954231,0.000000583366553389465,10.4044412367413
"mt-Co1",-4.74358534472336,14.3829809892435,-17.5724934364899,0.00000000425878109801208,0.000000231105418021812,10.4029776098058
"Wwp2",-2.81524896014389,6.60480240201309,-15.6648431178183,0.000000013589429423279,0.000000618289367515913,10.4001450732664
"Glrx5",-4.04578070117029,5.68294314446971,-15.5702256296786,0.000000014442941157337,0.000000651432917395215,10.3692959075461
"Acbd5",-3.16494470614759,5.73223790241093,-15.5521301755133,0.0000000146127492797161,0.000000657668400627916,10.363540546863
"Sh3tc2",-5.74395514517056,3.27223112451946,-15.8549071604634,0.0000000120366167489686,0.000000556139733514432,10.3363457619768
"Ubr2",-2.57381511827869,7.03912370520198,-15.6063930809334,0.0000000141099657489106,0.000000637794937691539,10.3225938633477
"4632427E13Rik",-2.89384101798651,6.64758885153011,-15.5449852813716,0.0000000146803964000575,0.000000659289009018101,10.3186101979957
"Ache",-4.75247861765354,3.13417954193291,-15.7329405815997,0.0000000130092702498173,0.000000597108311598442,10.3150901986338
"Slc30a1",-4.01077147197847,4.70757938231286,-15.485107366649,0.0000000152609440040208,0.000000682419637673361,10.3039317631485
"Herc2",-2.31864368371262,8.00048694294082,-15.6853638993632,0.0000000134116822002969,0.000000611537491662555,10.2846372412445
"Fbxw2",-2.80163864153333,6.13840717887425,-15.4103651669995,0.0000000160210477810385,0.000000713347422353164,10.2555268958623
"Zfp874b",-4.14963839776434,4.87600328367824,-15.3905410187683,0.0000000162295217913674,0.000000721089072683399,10.2486551205997
"Rictor",-2.65142562004516,6.94762990437737,-15.4596049758847,0.000000015515775049684,0.000000692329165921445,10.2437806862861
"Cldn13",-5.17400420465675,3.88465600639892,-15.3614392282463,0.00000001654094591445,0.000000733362193543212,10.2327692079391
"Dennd2b",-7.8814179054452,3.43508260212416,-16.9477380900652,0.0000000061438631516205,0.000000311886157443963,10.2043967161462
"Fth1",-2.11999091417368,7.80186937883585,-15.525956529541,0.0000000148622325125965,0.000000666019787306421,10.177103076735
