"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Chi3l1",829.11055472212,2.6211123297553,0.502535304450218,5.21577749173829,0.000000183047802855519,0.00000704367945388039
"Far2",260.791317452466,2.62756764735199,0.847506133846953,3.10035236609449,0.00193290545088662,0.0192983734699632
"Icosl",136.056731202907,2.63243431377954,0.717171892884072,3.67057652412079,0.000242004001902368,0.00356699488988937
"Epx",1230.16822378306,2.64908261516553,0.442530901833541,5.98620933405909,0.00000000214787898511382,0.000000126810154955059
"Vegfc",44.8351925881391,2.65339817296963,0.947330447085339,2.80092145368427,0.00509569202101058,0.0410314856285608
"G0s2",176.422685862325,2.65791070428352,0.850409736126703,3.12544717137095,0.00177534955144413,0.0180672473953437
"Fam167a",81.9830512083137,2.666964728154,0.706752689553975,3.77354733497668,0.000160942666119007,0.00255291596674127
"Ldhb",350.908660351444,2.67167178238436,0.391610364364078,6.82227036233526,0.00000000000896128085372868,0.000000000904646833838759
"Abtb2",185.101047594504,2.6740573640372,0.558276592810462,4.78984323984554,0.00000166911657109182,0.0000492720801509667
"Pilra",569.566899726502,2.67619648203347,0.550505559250062,4.86134324543276,0.00000116591886298241,0.0000360443045089118
"Hoxb3",51.3011308362416,2.67920775573803,0.809784672418226,3.3085434276463,0.000937826388131511,0.0107817335330936
"Ifi44",316.733870607476,2.68542821557739,0.6733361632353,3.98824296421898,0.0000665644720850816,0.00122589569423359
"Aldh3b1",380.247334032802,2.68887449422964,0.43929752295817,6.12085057098232,0.000000000930771605137886,0.0000000599284993323818
"Shb",47.6392880599503,2.68989864642654,0.756432260410651,3.55603374843671,0.000376495735388828,0.00509702918588485
"Pirb",707.483620219484,2.69612935582109,0.470568965457472,5.7295094953829,0.0000000100721451606584,0.00000051962101563851
"Cish",143.25384892344,2.70154021742767,0.610174336459493,4.42748908959892,0.00000953363931980712,0.000221782556808145
"Phf11d",62.6873384418826,2.70577428734393,0.777354937670944,3.48074496760873,0.000500021348511495,0.00641864139211695
"Epb41l3",392.563914121479,2.71049624743892,0.388915316229406,6.96937388251406,0.00000000000318354614565267,0.00000000035178184909462
"Map3k9",225.681148997655,2.71767541240086,0.59133188766787,4.59585466144739,0.00000430979040023138,0.000109274902644006
"Hpgds",248.461734555957,2.72413953904953,0.550647178553141,4.94715971524157,0.000000753041874019654,0.0000245813309535278
"Gm12185",215.779795184651,2.73612452271334,0.834303970587984,3.27952954698877,0.00103980321202856,0.0117587862628658
"Oas2",255.991265046454,2.74109931584764,0.376106390534634,7.28809556240502,0.000000000000314366969457434,0.0000000000417980277927389
"Gm3512",45.5318450798045,2.74479609590872,0.964351814048115,2.84626010541395,0.00442360457593585,0.0366854103625025
"Klhl4",227.576822737854,2.74685500655665,0.60809098910167,4.51717761944568,0.00000626693353906487,0.00015296930014607
"P2ry10",306.777290009994,2.7513183599939,0.498821798980548,5.51563377065082,0.0000000347525283907575,0.00000156138145412761
"Scarf1",207.146686123229,2.75737895355389,0.622394729292114,4.43027362505144,0.0000094113595962047,0.000219249821704176
"Mn1",227.712053954299,2.75857016664381,0.750511184655355,3.67558834970672,0.000237301898491288,0.00350662745434516
"Tgtp1",1382.50785689374,2.7659578828497,0.324985554846246,8.5110179255761,0.0000000000000000172412977091928,0.0000000000000053200789195498
"Padi4",565.621991910464,2.77464358850171,0.280554526388088,9.88985501044308,0.0000000000000000000000460694652963626,0.0000000000000000000289776936714121
"Hacd4",944.058905663054,2.77685659058362,0.235850918947634,11.7737789743366,0.0000000000000000000000000000000532830321806268,0.0000000000000000000000000000968211898091079
"Slc7a2",98.8942219116116,2.7778656170233,0.913643733662346,3.04042540289552,0.00236244206071683,0.0226866573464257
"Cd28",195.342196228952,2.79735436247395,0.653748686788889,4.27894452257199,0.0000187781655478026,0.000412766289474144
"Robo4",144.89917481591,2.80570777311751,0.579859318958407,4.8386008146896,0.00000130756366727566,0.0000396732768360412
"Pgap1",247.742986132978,2.80714582972006,0.559322524201122,5.01883208392062,0.000000519865647339131,0.0000177863656832304
"Emcn",195.400201608322,2.81203846107101,0.657460146285832,4.27712383321934,0.0000189323498379127,0.000415596844629832
"Aph1b",194.939760061917,2.81491267953682,0.572217064035462,4.91930922102381,0.000000868501721788658,0.000027849955212023
"Btla",399.353450614094,2.8193634943511,0.468315898781601,6.02021733980445,0.00000000174183029565452,0.000000104727546526228
"Gvin-ps1",47.1353637056513,2.82609474019983,1.00154199874869,2.82174361507625,0.00477633451108819,0.0387901478593504
"Itgb1bp2",39.8514087922663,2.8364776497337,0.996992880483781,2.84503300400432,0.00444068216503985,0.0367897244817942
"Naprt",156.69467156625,2.8458896029651,0.580062469987441,4.9061777829321,0.000000928683539172842,0.0000295480361860558
"S100a6",693.439820452473,2.85522902560568,0.97322789671119,2.93377228011476,0.00334869795389212,0.0294275154959439
"Sgsm1",194.57824317943,2.86173324224648,0.581174439729358,4.92405213756327,0.000000847702348252065,0.0000272900082742407
"Amotl2",105.786114559615,2.86311105191656,0.840152418338627,3.40784718275079,0.000654775533703949,0.00804522845844807
"Rapgef4",39.5017867533641,2.86346688013569,0.950508942185105,3.01256174776528,0.00259052728191247,0.0243060718120462
"Wfdc21",718.747814212541,2.86366910396929,0.946176146995098,3.02657080614835,0.00247344883423736,0.0234769484823667
"Ccl6",942.427809945914,2.8661283505411,0.535581702877607,5.35143066901237,0.0000000872615701743512,0.00000360372656220035
"Xdh",1022.86553688373,2.87317607619603,0.339674457444684,8.45861681155088,0.000000000000000027056751399504,0.00000000000000771195534227063
"Dgkh",94.6063856781321,2.87745605910101,0.587601876578645,4.89694838255999,0.000000973363928163877,0.000030730489732031
"Pkia",110.078283372022,2.88066808951025,0.63429837423153,4.54150318925263,0.00000558545408739833,0.000138191401127553
"Bmf",152.693791130875,2.88153537137371,0.760627366811361,3.78836667875026,0.000151640930769617,0.00243369556605134
"ENSMUSG00000103508",281.138034438204,2.88654109731975,0.593739455694857,4.86162923759482,0.00000116423531380546,0.0000360443045089118
"Cavin3",38.951380140884,2.89006443794487,0.971775040294597,2.97400562692857,0.00293939684856902,0.0267655323282282
"Ngp",31659.7535671651,2.89420388590102,0.409799202396893,7.06249272563972,0.00000000000163541879852662,0.00000000018834957064158
"Lrrn4",81.7808275284865,2.89687914571965,0.661203096975841,4.38122440588855,0.0000118014247400467,0.000269177824544943
"Yes1",186.083833611713,2.91443815539135,0.396173316555386,7.3564726184276,0.000000000000188833594365872,0.0000000000265955266184204
"Sytl1",123.902962443549,2.9161802259305,0.99371074922752,2.93463689327851,0.00333938214532071,0.0293614277443951
"Fkbp14",47.4205665571256,2.9260302502179,1.04244607131093,2.80688884609472,0.00500224990984976,0.0403585569934302
"Kcnh2",49.9316563270023,2.92976059370409,1.00255647647999,2.92228982848985,0.0034746803933207,0.0303389872676811
"Tspan9",59.1488969389593,2.94153113809881,0.782516942174015,3.75906383563601,0.000170550322403664,0.0026741898107282
"Sema7a",58.6635514015568,2.951661833372,0.769185164694347,3.83738788636792,0.000124349974984574,0.00206878890223572
